,Property_Name,Property Title,Price,Location,Total_Area(SQFT),Price_per_SQFT,Description,Total_Rooms,Balcony,city,property_type,BHK
5155,"Lifestyle Apartment,Padur, Chennai","1 BHK Flat for sale in Padur, Chennai",1950000.0,"Lifestyle Apartment,Padur, Chennai",520,3750.0,"Property for sale in Padur, Chennai. This 1 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 0. The total number of floors in this building is 2. This Apartment's price is Rs 21.0 L. Homebuyers will also need to pay Rs 700 towards maintenance. The built-up area is 520 Square feet. The property has 1 bedroom and 1 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Saveetha Medical College Hospital",2,Yes,Chennai,Flat,1
5156,Primex Verterra,"1 RK Flat for sale in Kolapakkam, Chennai",4200000.0,"Maxworth Nagar Phase 1, Kolapakkam,Chennai",578,7270.0,"East facing, vastu compliant flat with excellent natural light, in a very popular community. Near Pon vidhyashram school. More About This Property Looking for a 1 RK Apartment for sale in Chennai? Your search ends here. Buy this 1 RK property in Chennai's finest location, Kolapakkam. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 4 floors. This Apartment is available at a reasonable price of Rs 42.0 L. Maintenance charges in this property is Rs 1650. The built up area of this property is 578 Square feet. It is spacious for a family and this propert...",2,No,Chennai,Flat,1
5157,"Kalpakkam, Chennai","2 BHK Independent House for sale in Kalpakkam, Chennai",7500000.0,"Kalpakkam, Chennai",2750,2730.0,"Property for sale in Kalpakkam, Chennai. This 2 BHK Independent House is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 75.0 L. This Independent House is a spacious unit, with carpet area of 2500 Square feet and is ideal for families. The built-up area is 2750 Square feet. The property has 2 bedrooms and 2 bathroom",4,Yes,Chennai,House,2
5158,"Sree Lakshana homes,Chettipunyam, Chennai","2 BHK Flat for sale in Chettipunyam, Chennai",2575000.0,"Sree Lakshana homes,Chettipunyam, Chennai",923,2790.0,"2 BHK Apartment for sale in Chettipunyam, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Chettipunyam which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Chettipunyam. The property is on floor 2 and the total number of floors is 2. This 2 BHK Apartment is available at a reasonable price of Rs 25.75 L. Residents also need to pay maintenance charges of Rs 500. The built-up area is 923 Square feet. This property has provision for 2 bathroom. I...",3,No,Chennai,Flat,2
5159,Chennai Aishwaryam,"1 BHK Flat for sale in Edaikazhinadu, Chennai",4000000.0,"Edaikazhinadu, Chennai",750,5330.0,"One of the finest property in Edaikazhinadu is now available for sale. This is a 1 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 2 storeyed building. The price of this Apartment is Rs 40.0 L. Other charges when you move into this property include maintenance, which is Rs 5000. This Apartment is spacious with a built-up area of 750 Square feet. The carpet area is 500 Square feet. There are 1 bedroom and 1 bathroom",2,No,Chennai,Flat,1
5160,CeeDeeYes Pattinam,"3 BHK Flat for sale in Ammapettai, Chennai",4000000.0,"Ammapettai, Chennai",1600,2500.0,"3 BHK Apartment for sale in Chennai. This property is in Ammapettai, which is a coveted investment location. This tastefully designed 3 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 4. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 40.0 L. Monthly maintenance charges come to Rs 1600. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1600 Square feet...",3,Yes,Chennai,Flat,3
5161,"Pandur, Kumuzhi R.F.,Chennai","2 BHK Independent House for sale in Kumuzhi R.F., Chennai",3300000.0,"Pandur, Kumuzhi R.F.,Chennai",680,4850.0,"One of the finest property in Kumuzhi R.F is now available for sale. This is a 2 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 33.0 L. Other charges when you move into this property include maintenance, which is Rs 0. This Independent House is spacious with a built-up area of 680 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as GOVERNMENT HIGH SCHOOL",2,Yes,Chennai,House,2
5162,CeeDeeYes Pattinam,"3 BHK Flat for sale in Ammapettai, Chennai",4600000.0,"Ammapettai, Chennai",1600,2880.0,"A 3 BHK Apartment for sale in Ammapettai, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Ammapettai's most desired properties. Contact now for more information. This 3 BHK unit is on floor 3. There are 4 floors in this property. The price of this Apartment is Rs 46.0 L. Maintenance charges come to Rs 2850. Each unit has a built-up area of 1600 Square feet. The carpet area is 1297 Square feet. This West-facing property has an excellent view. There are 3 bedrooms. There is provision for 3 bathroom. The Apartment in...",3,No,Chennai,Flat,3
5163,"Sri harinee builders,Arjunamedu, Thiruverkkadu,Chennai","2 BHK Flat for sale in Thiruverkkadu, Chennai",4400000.0,"Sri harinee builders,Arjunamedu, Thiruverkkadu,Chennai",1100,4000.0,"Area1100,Location Near thiruverkadu  bus stand,2bhk pent house,with cars parking facility,2nd floor with 4 house apartment,front and back balcony no lift,9 years old building. More About This Property 2 BHK Apartment for sale in Thiruverkadu, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Thiruverkadu which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Thiruverkadu. The property is on floor 2 and the total number of floors is 2. Residents a...",3,Yes,Chennai,Flat,2
5164,"Puzhal, Chennai","4 BHK Independent House for sale in Puzhal, Chennai",9000000.0,"Puzhal, Chennai",2400,3750.0,"4 BHK Independent House for sale in Chennai. This property is in Puzhal, which is a coveted investment location. This tastefully designed 4 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 4 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 90.0 L. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 2400 Square feet. The carpet area is 1850 Square feet. This is a South facing property. It has 4 b...",4,Yes,Chennai,House,4
5165,Aakam Aakruthi Serenity,"2 BHK Flat for sale in Chettipunyam, Chennai",4000000.0,"Chettipunyam, Chennai",1150,3480.0,"2 BHK Apartment for sale in Chennai. This property is in Chettipunyam, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 3. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 40.0 L. Monthly maintenance charges come to Rs 2900. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1150 Square fe...",3,Yes,Chennai,Flat,2
5166,"Mambakkam-Chengalpattu , Chennai","1 BHK Independent House for sale in Mambakkam-Chengalpattu , Chennai",3700000.0,"Mambakkam-Chengalpattu , Chennai",800,4630.0,"A 1 BHK Independent House for sale in Mambakkam, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Mambakkam's most desired properties. Contact now for more information. The price of this Independent House is Rs 37.0 L. Each unit has a built-up area of 800 Square feet. There are 1 bedroom. This residential property is near Vellamal Global School, Velammal Vidyashram, and Maharishi Vidya Mandir. It is also close to Kathir Memorial Hospital",4,No,Chennai,House,1
5167,MP Karvi,"2 BHK Flat for sale in Anakaputhur, Chennai",3500000.0,"Guru Swamy Nagar, Anakaputhur,Chennai",727,4810.0,"2 BHK Apartment for sale in Anakaputhur, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Anakaputhur which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Anakaputhur. The property is on floor 1 and the total number of floors is 2. This 2 BHK Apartment is available at a reasonable price of Rs 35.0 L. Residents also need to pay maintenance charges of Rs 500. The built-up area is 727 Square feet. This property has provision for 2 bathroom. It en...",2,Yes,Chennai,Flat,2
5168,AKS Sunstone,"2 BHK Flat for sale in Ambattur Industrial Estate, Chennai",5500000.0,"Nolambur, Ambattur Industrial Estate,Chennai",902,6100.0,"Property for sale in Mogappair, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 4. The total number of floors in this building is 4. This Apartment's price is Rs 55.0 L. Homebuyers will also need to pay Rs 2 towards maintenance. The built-up area is 902 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Apollo Hospitals, MMRV HOSPITAL, and DR.DILIP DENTAL CENTRE |TMJ,MIGRAINE,S...",3,Yes,Chennai,Flat,2
5169,Sri Ashtalakshmi Nagar,"3 BHK Independent House for sale in Maraimalai Nagar, Chennai",2700000.0,"Maraimalai Nagar, Chennai",940,2870.0,"Looking for a 3 BHK Independent House for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Maraimalai Nagar. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 27.0 L. The built up area of this property is 940 Square feet. This property is South facing. There are 3 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such as Shri Sankara Vidyalaya, St Josephs Higher Secondary School, and Maraimalai Nagar Government School. Medical facility is ...",3,No,Chennai,House,3
