,Property_Name,Property Title,Price,Location,Total_Area(SQFT),Price_per_SQFT,Description,Total_Rooms,Balcony,city,property_type,BHK
0,Casagrand ECR 14,"4 BHK Flat for sale in Kanathur Reddikuppam, Chennai",19900000.0,"Kanathur Reddikuppam, Chennai",2583,7700.0,"Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Kanathur Reddikuppam. It is situated on floor 13. The total number of floors in this Apartment is 14. The property price of this unit is Rs 1.99 Cr. The built-up area is 2583 Square feet. There are 4 bedrooms and 4 bathroom. It is an ideal location for young families with kids, as this property is close to Mount Litera Zee School, OMR, Chennai, Amelio Early Education - Siruseri, and Chennai Mathematical Institute. H...",4,Yes,Chennai,Flat,4
1,"Ramanathan Nagar, Pozhichalur,Chennai","10 BHK Independent House for sale in Pozhichalur, Chennai",22500000.0,"Ramanathan Nagar, Pozhichalur,Chennai",7000,3210.0,"Looking for a 10 BHK Independent House for sale in Chennai? Your search ends here. Buy this 10 BHK property in Chennai's finest location, Pozhichalur. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 2.25 Cr. Maintenance charges in this property is Rs 2000. The built up area of this property is 7000 Square feet. It is spacious for a family and this property has a carpet area of 500 Square feet. There are 10 bedrooms and 9 bathroom. There are a number of reputed schools in the vicinity such as Peace On Green Ear...",6,Yes,Chennai,House,10
2,DAC Prapthi,"3 BHK Flat for sale in West Tambaram, Chennai",10000000.0,"Kasthuribai Nagar, West Tambaram,Chennai",1320,7580.0,"Property for sale in Tambaram, Chennai. This 3 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 2. This Apartment's price is Rs 1.0 Cr. The built-up area is 1320 Square feet. The property has 3 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Hindu Mission Hospital, Annai Arul Hospital, and Kasthuri Hospital. Schools like INNOVATION ACADEMY, T.I.M.E. Kids Preschool- Tambaram...",3,No,Chennai,Flat,3
3,"Naveenilaya,Chepauk, Triplicane,Chennai","7 BHK Independent House for sale in Triplicane, Chennai",33300000.0,"Naveenilaya,Chepauk, Triplicane,Chennai",4250,7840.0,"Entire Building for sale with 7 units of single bedroom and 2 units of double bed room with ground floor Parking with Rental Yield of 1,50,000/- More About This Property 7 BHK Independent House for sale in Chennai. This property is in Triplicane, which is a coveted investment location. This tastefully designed 7 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 7 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 3.33 Cr. Monthly maintenance charges come to Rs 3000. It is best suited for al...",5,Yes,Chennai,House,7
4,DRA 90 Degrees,"3 BHK Flat for sale in Pallikaranai, Chennai",13000000.0,"Rose Avenue, Pallikaranai,Chennai",1444,9000.0,"Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Pallikaranai. This is an owner listed property and there is no brokerage involved. It is on floor 4 out of 11 floors. This Apartment is available at a reasonable price of Rs 1.3 Cr. Maintenance charges in this property is Rs 6500. The built up area of this property is 1444 Square feet. There are 3 bedrooms and 3 bathroom. The Apartment has lift facility. It is a thoroughly safe premise with cctv facility. Other facilities include amenities like Gym, Garden, Sports Fac...",3,No,Chennai,Flat,3
5,"Ramakrishna Puram, West Mambalam,Chennai","6 BHK Villa for sale in West Mambalam, Chennai",85000000.0,"Ramakrishna Puram, West Mambalam,Chennai",6000,14170.0,"Looking for a 6 BHK Villa for sale in Chennai? Your search ends here. Buy this 6 BHK property in Chennai's finest location, West Mambalam. This is an owner listed property and there is no brokerage involved. This Villa is available at a reasonable price of Rs 8.5 Cr. Maintenance charges in this property is Rs 2000. The built up area of this property is 6000 Square feet. There are 6 bedrooms and 6 bathroom. There are a number of reputed schools in the vicinity such as Chennais Amirta International Institute Of Hotel Management, Padma Seshadri Bala Bhavan Senior Secondary School, and Hindu Vidhy...",1,Yes,Chennai,Villa,6
6,"Deepak home,Mettuppalayam, Ashok Nagar,Chennai","2 BHK Flat for sale in Ashok Nagar, Chennai",11500000.0,"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",878,13100.0,"13a,4th Street, Ragavan colony, Ashok Nagar, Chennai-83 (near to r6 police station) More About This Property A 2 BHK Apartment for sale in Ashok Nagar, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Ashok Nagar's most desired properties. Contact now for more information. This 2 BHK unit is on floor 3. There are 3 floors in this property. The price of this Apartment is Rs 1.15 Cr. Maintenance charges come to Rs 1000. Each unit has a built-up area of 878 Square feet. The carpet area is 672 Square feet. This South-f...",3,Yes,Chennai,Flat,2
7,Ramcons Dominion,"3 BHK Flat for sale in Nungambakkam, Chennai",26000000.0,"Tirumurthy Nagar, Nungambakkam,Chennai",1658,15680.0,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Chennai's top location, Nungambakkam. It is situated on floor 3. The total number of floors in this Apartment is 3. The property price of this unit is Rs 2.8 Cr. Monthly maintenance costs Rs 7500. The built-up area is 1658 Square feet. There are 3 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to Lady Andal Venkatasubbarao Matriculation School, MCC Matriculation Higher Secondary Sch...",3,Yes,Chennai,Flat,3
8,VGN Coasta,"4 BHK Flat for sale in Muttukadu, Chennai",29700000.000000004,"Muttukadu, Chennai",4200,7070.0,"Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Muttukadu. It is situated on floor 5. The total number of floors in this Apartment is 15. The property price of this unit is Rs 2.97 Cr. Monthly maintenance costs Rs 14000. The built-up area is 4200 Square feet. There are 4 bedrooms and 5 bathroom. This property enjoys a good view and is North-facing. This property in Muttukadu, Chennai has lift facility as well. It is a safe premise with cctv facility. Other amenit...",5,Yes,Chennai,Flat,4
9,"Ramanathan Nagar, Pozhichalur,Chennai","2 BHK Independent House for sale in Pozhichalur, Chennai",16200000.000000002,"Ramanathan Nagar, Pozhichalur,Chennai",2838,5710.0,"2 BHK Independent House for sale in Pozhichalur, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Pozhichalur which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Pozhichalur. This 2 BHK Independent House is available at a reasonable price of Rs 1.62 Cr. The built-up area is 2838 Square feet. This property has provision for 3 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Deepam Hos...",4,Yes,Chennai,House,2
10,CasaGrand Vistaaz,"3 BHK Villa for sale in Kolapakkam - Vandalur, Chennai",10800000.0,"Kolapakkam - Vandalur, Chennai",1566,6900.0,"Close to Shriram IT Gateway and New Kilambakkam Bus Stand More About This Property Looking for a good 3 BHK Villa in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. This Villa is available for Rs 1.08 Cr. This modern unit has a built-up area of 1566 Square feet. This property has a good view and is South-East-facing. There are 3 bedrooms and 3 bathroom. This is a gated community. Cctv facility is provided to ensure safety. Sports enthusiasts have multiple options such as Gym, Garden, Sports Facility, Swimming Pool, Clubh...",3,No,Chennai,Villa,3
11,"penta concept enclave,Thiruverkkadu, Chennai","4 BHK Flat for sale in Thiruverkkadu, Chennai",10000000.0,"penta concept enclave,Thiruverkkadu, Chennai",2350,4250.0,"There are 5 blocks.
And in the 5th block there are 5 Flats. 
We have custom built 2 apartments in that in the 1st and 2nd floors for our exclusive use !
Both can be used as Duplex, as internal staircase is provided.
Both can be independent also.
All cup boards and kitchen work completed.
Kitchen cum dinning cum hall is one & spacious.
Floor wise Area details: 
There are only 2 Floors.

Built area:




B4: First Floor. 
Built area - 1359 SQFT
B5: Second Floor.
Built area - 991 SQFT
Total built area- 2350 SQFT.

UDS: 

First Floor B4:
UDS 1033 SQFT.
Second Floor B5:
UDS 650 SQFT.

Total UDS     ...",4,Yes,Chennai,Flat,4
12,"Swarnambigai Nagar, Virugambakkam,Chennai","5 BHK Independent House for sale in Virugambakkam, Chennai",25000000.0,"Swarnambigai Nagar, Virugambakkam,Chennai",2500,10000.0,"Brokers, kindly excuse us. CMDA approved 5BHK East Facing independent house in AVM Avenue, Virugambakkam with 2BHK on ground floor, 2BHK on 1st floor and separate room and bath room in 2nd floor. The house comes with 2 car covered parking with plenty of two wheeler parking and with corporation water supplemented by borewell water. More About This Property 5 BHK Independent House for sale in Virugambakkam, Chennai. This 5 BHK unit is available in Virugambakkam and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for ...",4,Yes,Chennai,House,5
13,"Bharathi Nagar, Ayanavaram,Chennai","4 BHK Independent House for sale in Ayanavaram, Chennai",24000000.0,"Bharathi Nagar, Ayanavaram,Chennai",2300,10430.0,"One of the finest property in Ayanavaram is now available for sale. This is a 4 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 2.4 Cr. This Independent House is spacious with a built-up area of 2300 Square feet. There are 4 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Bharatiya Vidya Bhavan, Chinmaya Vidyalaya School, and CSI Bain Matriculation Higher Secondary School. It is also close to good and reputed hospitals like LIMA MULTISPECIALITY HOSPITAL, Apollo Medical...",4,Yes,Chennai,House,4
14,"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai","2 BHK Flat for sale in Jeth Nagar, Chennai",12000000.0,"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai",1100,10910.0,"A 2 BHK Apartment for sale in Mandaveli, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Mandaveli's most desired properties. Contact now for more information. This 2 BHK unit is on floor 0. There are 3 floors in this property. The price of this Apartment is Rs 1.2 Cr. Maintenance charges come to Rs 2000. Each unit has a built-up area of 1100 Square feet. The carpet area is 920 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Chettinad Vidhyashram School, St M...",3,Yes,Chennai,Flat,2
15,"TNHB Colony, Villivakkam,Chennai","4 BHK Independent House for sale in Villivakkam, Chennai",22500000.0,"TNHB Colony, Villivakkam,Chennai",2400,9380.0,Independent house with seperate compound facing 30 feet road. Surrounded by coconut trees which gives cool atmosphere More About This Property One of the finest property in Villivakkam is now available for sale. This is a 4 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 2.25 Cr. This Independent House is spacious with a built-up area of 2400 Square feet. A separate servant room available in this Independent House. There are 4 bedrooms and 4 bathroom. This property ensures you are a quick distance away from the city's best schools su...,4,Yes,Chennai,House,4
16,"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai","3 BHK Flat for sale in Raja Annamalai Puram, Chennai",16000000.0,"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai",1350,11850.0,"Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Raja Annamalai Puram. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 2 floors. This Apartment is available at a reasonable price of Rs 1.6 Cr. The built up area of this property is 1350 Square feet. There are 3 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Chettinad Vidhyashram School, P S Senior Secondary School, and ST Johns Matriculation Higher Secondary School. Medical facility ...",3,Yes,Chennai,Flat,3
17,"Lakshmipuram, Kolathur,Chennai","3 BHK Independent House for sale in Kolathur, Chennai",12000000.0,"Lakshmipuram, Kolathur,Chennai",1350,8890.0,"A 3 BHK Independent House for sale in Lakshmipuram, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Lakshmipuram's most desired properties. Contact now for more information. The price of this Independent House is Rs 1.2 Cr. Maintenance charges come to Rs 0. Each unit has a built-up area of 1350 Square feet. The carpet area is 1300 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Velammal Matriculation Higher Secondary School, Velammal Vidhyashram, and Narayana...",3,No,Chennai,House,3
18,"Dharan Singh Colony, Vadapalani,Chennai","4 BHK Independent House for sale in Vadapalani, Chennai",27500000.0,"Dharan Singh Colony, Vadapalani,Chennai",1940,14180.0,"One of the finest property in Vadapalani is now available for sale. This is a 4 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 2.75 Cr. This Independent House is spacious with a built-up area of 1940 Square feet. It is a South-facing property with a good view. There are 4 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Chinmaya Vidyalaya Higher Secondary School, Pink Fitness - Ladies Gym Ashok Nagar, and Padma Seshadri Bala Bhavan Senior Secondary School. It is also c...",3,Yes,Chennai,House,4
19,Vasantham,"3 BHK Flat for sale in Sembakkam, Chennai",11500000.0,"Maruthi Nagar, Sembakkam,Chennai",1712,6720.0,"Property for sale in Sembakkam, Chennai. This 3 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 2. This Apartment's price is Rs 1.15 Cr. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 1712 Square feet. The property has 3 bedrooms and 3 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Parvathy Hospital, New Life Hospital, and Bethesda Hospital. Schools like...",3,Yes,Chennai,Flat,3
20,"Padupakkam, Triplicane,Chennai","4 BHK Independent House for sale in Triplicane, Chennai",23900000.0,"Padupakkam, Triplicane,Chennai",1328,18000.0,"Excellent property in the heart of the city. Best for Self-occupation with family, commercial, and residential rental home. Best property if this is rebuilt with most modern amenities  More About This Property 4 BHK Independent House for sale in Chennai. This property is in Triplicane, which is a coveted investment location. This tastefully designed 4 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 4 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 2.39 Cr. Monthly maintenance charges c...",3,Yes,Chennai,House,4
21,"Tirupathi Nagar, Valasaravakkam,Chennai","5 BHK Independent House for sale in Valasaravakkam, Chennai",51300000.0,"Tirupathi Nagar, Valasaravakkam,Chennai",5400,9500.0,"5 BHK Independent House for sale in Valasaravakkam, Chennai. This 5 BHK unit is available in Valasaravakkam and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Valasaravakkam. The price of this Independent House is Rs 5.13 Cr. Residents in this project also pay monthly maintenance charges of Rs 0. It is a good, spacious Independent House unit with carpet area of 5200 Square feet. The built-up area is 5400 Square feet. There are 5 bedrooms and 4 bathroom. Th...",5,Yes,Chennai,House,5
22,Golden Jubilee Flats,"3 BHK Flat for sale in Anna Nagar West, Chennai",10000000.0,"Thirumangalam, Anna Nagar West,Chennai",1100,9090.0,"Check out this 3 BHK Apartment for sale in Anna Nagar West Extension, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Anna Nagar West Extension is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 3. The property's price is Rs 1.0 Cr. Residents in this property pay Rs 500 towards maintenance. This property is a modern-day abode, with 1100 Square feet ...",3,Yes,Chennai,Flat,3
23,"Ambattur, Chennai","4 BHK Independent House for sale in Ambattur, Chennai",37800000.0,"Ambattur, Chennai",3300,11450.0,"One of the finest property in Ambattur is now available for sale. This is a 4 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 3.78 Cr. This Independent House is spacious with a built-up area of 3300 Square feet. There are 4 bedrooms and 4 bathroom. This property ensures you are a quick distance away from the city's best schools such as Bapuji Matric Higher Secondary School, PJ Gupta Middle School, and Sir Ramaswami Mudaliar Higher Secondary School. It is also close to good and reputed hospitals like Mother's Speciality Hospital, Sir ...",1,Yes,Chennai,House,4
24,Prestige Bella Vista,"3 BHK Flat for sale in Iyyappanthangal, Chennai",13000000.0,"Iyyappanthangal, Chennai",1791,7260.0,"Check out this 3 BHK Apartment for sale in Kattupakkam, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Kattupakkam is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 5. The total number of floors in this project is 16. The property's price is Rs 1.3 Cr. Residents in this property pay Rs 7000 towards maintenance. This property is a modern-day abode, with 1791 Square feet built-up area. The unit ha...",3,Yes,Chennai,Flat,3
25,Ozone Metrozone,"4 BHK Flat for sale in Anna Nagar West, Chennai",30000000.0,"Thirumangalam, Anna Nagar West,Chennai",2661,11270.0,"Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Anna Nagar West Extension. It is situated on floor 10. The total number of floors in this Apartment is 15. The property price of this unit is Rs 3.0 Cr. Monthly maintenance costs Rs 10000. The carpet area of this unit is 2000 Square feet. The built-up area is 2661 Square feet. You can make use of the servant room in this Apartment. There are 4 bedrooms and 4 bathroom. It is an ideal location for young families with ...",4,Yes,Chennai,Flat,4
26,"Chinnaiyan Colony, Perambur,Chennai","10 BHK Independent House for sale in Perambur, Chennai",65000000.0,"Chinnaiyan Colony, Perambur,Chennai",8000,8130.000000000001,"17 BHK House for sale at perambur, G+2, 10 portion with 17 BHK,
7 units 2Bhk & 3 units 1Bhk, 1 servant room, Granite flooring, age of construction 4 years, 6 covered independent drive way car parking, 10 bike parking with sump & 2 bore well with good ventilation amenities with CCTV Cameras, Covered Car Parking with independent driveway located close to schools, hospitals, shopping destinations and every civic amenity required. Framed Structure Architect Designed Rs.6.50 crore
Landmark : Near perambur domios pizza & Revathi stores
 More About This Property Looking for a 10 BHK Independent House...",1,Yes,Chennai,House,10
27,"Surya Nagar, Kotturpuram,Chennai","3 BHK Flat for sale in Kotturpuram, Chennai",23000000.0,"Surya Nagar, Kotturpuram,Chennai",1650,13940.0,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Chennai's top location, Kotturpuram. It is situated on floor 1. The total number of floors in this Apartment is 3. The property price of this unit is Rs 2.5 Cr. The built-up area is 1650 Square feet. There are 3 bedrooms and 4 bathroom. It is an ideal location for young families with kids, as this property is close to St Michaels Academy Matriculation Higher Secondary School, Chennais Amirta International Institute Of Hotel Management, and...",3,Yes,Chennai,Flat,3
28,"Vijaya Gardens, Valasaravakkam,Chennai","6 BHK Independent House for sale in Valasaravakkam, Chennai",30000000.0,"Vijaya Gardens, Valasaravakkam,Chennai",3500,8570.0,"Check out this 6 BHK Independent House for sale in Valasaravakkam, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 6 BHK Independent House is perfect for a modern-day lifestyle. Valasaravakkam is a promising location in Chennai and this is one of the finest properties in the area. Buy this Independent House for sale now. The property's price is Rs 3.0 Cr. This property is a modern-day abode, with 3500 Square feet built-up area. The carpet-area is 1500 Square feet. The unit has 6 bedrooms and 4 bathroom. Educational institutions are closeby wit...",4,Yes,Chennai,House,6
29,GR Natarajan Sundaravedam,"3 BHK Flat for sale in T Nagar, Chennai",27500000.0,"Parthasarathy Puram, T Nagar,Chennai",1495,18390.0,"Fully furnished NRI owned fairly new 3BR apartment in prime residential area in T.Nagar. 

Road facing, CCP, Lift, Genset. 

Close to TTD temple, Natesan Park and Metro.

Get a three bedroom in T Nagar for sale at a very reasonable price, and without brokerage. 

This home is 1495 sqft. & Comes with dedicated covered parking area for car. This East facing apartment is on the 2nd floor.

If you need amenities such as intercom facility, security, elevator & wi-fi access you'll be happy to note that this home has this & more. 

This is a fully furnished apartment and you can just move in and star...",3,No,Chennai,Flat,3
30,"Periyar Nagar, Tiruvottiyur,Chennai","2 BHK Independent House for sale in Tiruvottiyur, Chennai",11000000.0,"Periyar Nagar, Tiruvottiyur,Chennai",1800,6110.0,"One of the finest property in Tiruvottiyur is now available for sale. This is a 2 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 1.1 Cr. This Independent House is spacious with a built-up area of 1800 Square feet. The carpet area is 1150 Square feet. There are 2 bedrooms and 4 bathroom. This property ensures you are a quick distance away from the city's best schools such as Auxillum Matriculation Higher Secondary School, Kavi Bharathi Vidyalaya, and Sri Sankara Vidya Kendra Matriculation Higher Secondary School. It is also close to ...",3,Yes,Chennai,House,2
31,BSR Nerkundram,"4 BHK Independent House for sale in Koyambedu, Chennai",11500000.0,"Tirumalai Nagar, Koyambedu,Chennai",1400,8210.0,"4 BHK Independent House for sale in Chennai. This property is in Koyambedu, which is a coveted investment location. This tastefully designed 4 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 4 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 1.15 Cr. Monthly maintenance charges come to Rs 500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1400 Square feet. The carpet area is 1260 Square feet. It has 2 bathroom and 4 bedrooms. Som...",3,No,Chennai,House,4
32,"Annamalai Colony, Saligramam,Chennai","3 BHK Flat for sale in Saligramam, Chennai",11000000.0,"Annamalai Colony, Saligramam,Chennai",1196,9200.0,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Chennai's top location, Saligramam. It is situated on floor 1. The total number of floors in this Apartment is 2. The property price of this unit is Rs 1.1 Cr. Monthly maintenance costs Rs 500. The built-up area is 1196 Square feet. There are 3 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to Chinmaya Vidyalaya Higher Secondary School, Vani Vidyalaya Senior Secondary & Junior Colle...",3,No,Chennai,Flat,3
33,"Ambattur, Chennai","3 BHK Independent House for sale in Ambattur, Chennai",42000000.0,"Ambattur, Chennai",4800,8750.0,"3 BHK Independent House for sale in Ambattur, Chennai. This 3 BHK unit is available in Ambattur and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Ambattur. The price of this Independent House is Rs 4.2 Cr. Residents in this project also pay monthly maintenance charges of Rs 0. It is a good, spacious Independent House unit with carpet area of 870 Square feet. The built-up area is 4800 Square feet. There are 3 bedrooms and 3 bathroom. This property is at a ...",5,Yes,Chennai,House,3
34,"Sai sivam,Thirumangalam, Anna Nagar West,Chennai","3 BHK Flat for sale in Anna Nagar West, Chennai",15300000.0,"Sai sivam,Thirumangalam, Anna Nagar West,Chennai",1340,11420.0,"A 3 BHK Apartment for sale in Anna Nagar West Extension, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Anna Nagar West Extension's most desired properties. Contact now for more information. This 3 BHK unit is on floor 2. There are 3 floors in this property. The price of this Apartment is Rs 1.5 Cr. Each unit has a built-up area of 1340 Square feet. The carpet area is 1100 Square feet. There are 3 bedrooms. There is provision for 2 bathroom. This residential property is near Velammal Matriculation Higher Secondar...",3,Yes,Chennai,Flat,3
35,Adityaram Nagar Phase 5,"4 BHK Villa for sale in Panaiyur, Chennai",26000000.0,"Adityaram Nagar, Panaiyur,Chennai",3500,7430.0,"Looking for a good 4 BHK Villa in Panayur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. Maintenance charges of this property is Rs 100. This Villa is available for Rs 2.6 Cr. This modern unit has a built-up area of 3500 Square feet. The carpet area of this Villa is 3200 Square feet. There are 4 bedrooms and 4 bathroom. It is very close to some of city's best hospitals, such as, Swaram Specialty Hospital, Trustlife Medical Centre, and Siva Clinic. Established schools, such as Narayana E-Techno School, Sholinganallur, SHRI SHAKTHI VIDYALA...",5,Yes,Chennai,Villa,4
36,CasaGrand Monte Carlo,"3 BHK Flat for sale in Saidapet, Chennai",24400000.0,"Gotha Medu Housing Board, Saidapet,Chennai",1881,12970.0,"Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Saidapet. This is an owner listed property and there is no brokerage involved. It is on floor 11 out of 13 floors. Maintenance charges in this property is Rs 4000. The built up area of this property is 1881 Square feet. It is spacious for a family and this property has a carpet area of 1530 Square feet. There are 3 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such as Chennais Amirta International Institute Of Hotel Management, St Mich...",3,Yes,Chennai,Flat,3
37,Pacifica Happiness Towers,"4 BHK Flat for sale in Padur, Chennai",12500000.0,"Padur, Chennai",2232,5600.0,"One of the finest property in Padur is now available for sale. This is a 4 BHK Apartment posted directly by owner. Make it yours now. It is on floor 0. It is a 15 storeyed building. Other charges when you move into this property include maintenance, which is Rs 5580. This Apartment is spacious with a built-up area of 2232 Square feet. The carpet area is 2000 Square feet. It is a North-facing property with a good view. There are 4 bedrooms and 4 bathroom. Lift facility is also available. This is a gated community. This property is equipped with cctv facility. Other facilities include Gym, Commu...",4,Yes,Chennai,Flat,4
38,Pacifica Aurum Villas,"4 BHK Villa for sale in Padur, Chennai",14000000.0,"Padur, Chennai",2117,6610.0,"Looking for a good 4 BHK Villa in Padur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. Maintenance charges of this property is Rs 5000. This modern unit has a built-up area of 2117 Square feet. There are 4 bedrooms and 3 bathroom. It is very close to some of city's best hospitals, such as, Chettinad Hospital And Research Institute, SUPREME SPECIALITY HOSPITALS, and Chettinad Health City. Established schools, such as E2E INSTITUTE, KIDZEE KELAMBAKKAM, and Chennai Mathematical Institute are also close-by",4,Yes,Chennai,Villa,4
39,Prestige Courtyards by Prestige Estates Projects Ltd.,"3 BHK Flat for sale in Sholinganallur, Chennai",13200000.0,"Sholinganallur, Chennai",1689,7820.0,"Property for sale in Sholinganallur, Chennai. This 3 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 3. The total number of floors in this building is 3. This Apartment's price is Rs 1.32 Cr. The built-up area is 1689 Square feet. This Apartment is strategically located within close distance of famous healthcare centres such as Apollo Cradle & Childrens Hospital Karapakkam, Dr. Mohan's Diabetes Specialities Centre - OMR, and Gleneagles Global Health City. Schools like Narayana E-Techno School, Sh...",3,Yes,Chennai,Flat,3
40,Golden Luxury Villas by Golden Homes,"3 BHK Villa for sale in Ekkatuthangal, Chennai",29000000.0,"Ekkatuthangal, Chennai",1200,24170.0,"Looking for a good 3 BHK Villa in Ekkatuthangal, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. This Villa is available for Rs 2.9 Cr. This modern unit has a built-up area of 1200 Square feet. It is very close to some of city's best hospitals, such as, MIOT International, FORTIS MALAR HOSPITAL CHENNAI, and Military Hospital. Established schools, such as Chennais Amirta International Institute Of Hotel Management, Vani Vidyalaya Senior Secondary & Junior College, and Christian School are also close-by",3,No,Chennai,Villa,3
41,Aurum Villas,"3 BHK Villa for sale in Padur, Chennai",16500000.0,"Padur, Chennai",2150,7670.0,"3 BHK Villa for sale in Padur, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Villa is in Padur which is a promising investment destination in Chennai. This might be your chance to grab the best 3 BHK property for sale in Padur. This 3 BHK Villa is available at a reasonable price of Rs 1.65 Cr. It is a very spacious property, spread over 2000 Square feet. The built-up area is 2150 Square feet. This property has provision for 3 bathroom. This property is auspiciously built and is South-facing. It enjoys a strategic location with ...",4,Yes,Chennai,Villa,3
